experiment,dataset,repeat,method,seed,target_seed,n_samples,burn_in,pre_burn,tuning_profile,time_sec,preprocess_time_sec,sampling_time_sec,covariance_samples,covariance_source,burn_covariance_time_sec,gvi_covariance_time_sec,tuning_time_sec,ess_mean,efficiency,p_jump,rho1,epsilon,L,hmc_initial_epsilon,hmc_initial_L,hmc_gvi_tune_acceptance,hmc_gvi_tune_efficiency,hmc_gvi_tune_rho1,gvi_iterations,gvi_rank
4.2.2_gaussian_100d,gaussian_100d,1,AM,13146,23123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,140.31577520001156,0.0,140.31577520001156,,adaptive,,,0.0,2509.84724919926,0.0025098472491992,0.3770663366336633,0.9937807049966376,,,,,,,,,
4.2.2_gaussian_100d,gaussian_100d,1,HMC,13176,23123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,327.9771718999982,65.84054469999683,262.136593999996,10000.0,hmc_pre_burn,35.307685399995535,,62.86859300000651,937148.173541129,0.937148173541129,0.997639603960396,-0.0009702431424132,0.0493082042445738,32.0,0.2279988264747201,48.0,,,,,
4.2.2_gaussian_100d,gaussian_100d,1,HMC-GVI,13190,23123.0,1000000,10000,10000,hmc_gvi_grid_rho_constrained,122.04602759997942,11.823543099977542,110.20327220001492,,fgvi_rank5,,0.4228430999792181,11.400699999998324,989349.9126807746,0.9893499126807744,0.9424693069306932,-0.0432254978975964,0.24,7.0,,,0.9415,0.9866669684804522,-0.0462180582465838,353.0,5.0
4.2.2_gaussian_100d,gaussian_100d,1,MALA,13160,23123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,34.77497579999908,1.8923593000072287,32.882615500013344,10000.0,mala_pre_burn,1.0448812999966322,,0.8474780000105966,1280.75402698253,0.0012807540269825,0.5980475247524752,0.9830939119262594,1.134027310005104,,,,,,,,
4.2.2_gaussian_100d,gaussian_100d,1,RMH,13134,23123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,11.393256700001077,0.1995891999977175,11.19366699999955,10000.0,rmh_pre_burn,0.1995891999977175,,0.0,33.08391452369856,3.308391452369856e-05,0.5827782178217822,0.9970836747572798,,,,,,,,,
4.2.2_gaussian_100d,gaussian_100d,2,AM,23146,43123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,103.02393569999548,0.0,103.02393569999548,,adaptive,,,0.0,2524.5238986678537,0.0025245238986678,0.3768663366336633,0.9938110296623412,,,,,,,,,
4.2.2_gaussian_100d,gaussian_100d,2,HMC,23176,43123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,138.30818480000016,45.80228839999472,92.50587970000925,10000.0,hmc_pre_burn,23.77845159999561,,43.5136222000001,926048.0086899702,0.9260480086899704,0.9745910891089108,-0.0038099576378522,0.1599999999999999,10.0,0.2478128477814613,40.0,,,,,
4.2.2_gaussian_100d,gaussian_100d,2,HMC-GVI,23190,43123.0,1000000,10000,10000,hmc_gvi_grid_rho_constrained,113.462924499996,11.06101979999221,102.3856250999961,,fgvi_rank5,,0.307030299998587,10.753989499993622,980192.5488957046,0.9801925488957044,0.9213722772277227,-0.0264904723710512,0.28,6.0,,,0.917,0.965257944269685,-0.0232679449488383,268.0,5.0
4.2.2_gaussian_100d,gaussian_100d,2,MALA,23160,43123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,19.283738099999027,1.022507100002258,18.2612303999922,10000.0,mala_pre_burn,0.6110703000013018,,0.4114368000009563,9893.523735554169,0.0098935237355541,0.5794574257425743,0.94732381611104,1.065320068606022,,,,,,,,
4.2.2_gaussian_100d,gaussian_100d,2,RMH,23134,43123.0,1000000,10000,10000,expanded_hmc_gvi_tuned,7.35807119999663,0.0802563000033842,7.277814299988677,10000.0,rmh_pre_burn,0.0802563000033842,,0.0,31.018211591766384,3.1018211591766386e-05,0.5482960396039605,0.9969688235786238,,,,,,,,,
